NI RH RM RS V DG DM DS
753 11 59 13 - 0 31 25
754 11 59 24 - 1 39 16
755 12 1 11 + 14 6 15
756 12 2 58 + 4 50 42
757 12 4 2 + 52 35 26
758 12 4 12 + 62 30 20
759 12 5 9 + 20 15 36
760 12 5 54 - 29 17 34
761 12 5 54 - 12 40 22
762 12 8 12 + 25 45 23
763 12 8 15 + 25 48 43
764 12 10 14 - 29 44 13
765 12 10 33 + 16 7 58
766 12 10 54 - 12 39 17
767 12 11 3 + 12 6 15
768 12 11 48 + 12 8 35
769 12 12 32 + 12 7 24
770 12 13 2 - 4 33 10
771 12 15 13 + 13 11 4
772 12 15 16 + 23 57 32
773 12 18 8 + 6 8 22
774 12 18 51 - 6 45 57
775 12 18 54 + 12 54 47
776 12 19 3 + 8 51 25
777 12 19 24 + 28 18 34
778 12 14 22 + 56 0 42
779 12 19 39 + 29 52 58
780 12 19 58 + 25 46 19
781 12 20 3 + 14 57 41
782 12 21 37 + 5 45 59
783 12 21 39 + 15 44 41
783 12 22 20 + 15 44 0
784 12 22 30 - 4 39 10
785 12 23 2 - 13 13 23
786 12 23 11 - 13 12 15
787 12 25 25 + 16 7 25
788 12 26 7 + 16 10 52
789 12 26 21 + 7 27 37
790 12 26 35 + 9 2 9
791 12 26 59 + 22 38 24
792 12 27 9 + 16 19 30
793 12 28 16 + 9 26 12
794 12 28 9 + 12 5 38
795 12 28 31 + 23 18 19
796 12 29 26 + 16 24 17
797 12 31 55 + 15 7 25
798 12 32 33 + 15 24 57
799 12 33 50 - 7 22 29
800 12 33 57 + 15 21 16
801 12 33 45 + 52 15 17
802 12 35 58 + 74 18 3
803 12 39 37 + 16 35 20
804 12 41 16 - 5 0 33
805 12 41 25 + 13 43 47
806 12 42 8 - 17 20 59
807 12 42 12 - 17 24 13
808 12 41 55 + 19 55 57
809 12 42 9 + 11 45 15
810 12 42 9 + 12 35 48
811 12 44 47 - 10 11 53
812 12 44 51 - 4 26 4
813 12 45 12 + 23 2 9
814 12 45 34 - 8 5 30
815 12 46 23 + 11 52 36
816 12 46 46 + 9 51 4
817 12 46 57 + 9 51 28
818 12 46 44 + 29 44 7
819 12 46 10 + 30 43 57
820 12 46 11 + 30 43 21
821 12 47 26 + 29 47 16
822 12 47 46 + 30 4 40
823 12 47 51 + 27 12 10
824 12 49 42 - 4 34 47
824 12 49 41 - 4 34 49
825 12 50 19 - 5 21 47
826 12 51 20 + 31 3 33
827 12 51 55 + 16 16 59
828 12 52 16 - 8 7 58
829 12 52 27 - 15 31 5
830 12 51 16 + 53 41 45
831 12 52 44 + 26 28 16
832 12 53 59 + 26 26 40
833 12 56 38 - 6 44 0
834 12 56 19 + 26 21 34
835 12 56 52 + 26 29 13
836 12 55 54 + 63 36 42
837 12 57 31 + 26 30 40
838 12 58 14 + 26 25 34
839 12 58 15 + 28 7 35
840 12 58 42 + 10 37 0
841 12 59 47 + 21 48 48
842 13 0 40 + 29 1 7
843 13 1 34 + 29 7 50
844 13 3 18 - 30 31 15
845 13 4 58 + 12 4 43
846 13 5 21 + 23 5 44
847 13 5 32 + 53 41 8
